file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity$Anonymous5,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity,class,26,36,10,26,33,2,0,59,19,0.8722221,0.4,0.6,10,0,5,5,0,0,5,0,0,0,36,9,1,28,0,7,11,0,7,348,4,2,12,2,3,16,22,62,5,52,4,12,0,0,193,1,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity$Anonymous4,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\PubkeyBean.java,com.iiordanov.pubkeygenerator.PubkeyBean,class,5,8,3,5,44,2,0,18,283,0.90476197,0.10461538,0.48,27,0,26,1,0,0,26,0,0,0,14,3,1,13,0,0,3,0,3,156,21,0,7,2,1,8,8,31,0,20,3,0,0,0,76,1,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity$Anonymous7,anonymous,2,2,0,2,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\input\InputHandlerGeneric.java,com.iiordanov.bVNC.input.InputHandlerGeneric,class,16,21,5,16,120,2,3,55,0,0.83538646,0.7908497,0.8888889,19,0,9,1,7,2,18,0,0,0,46,1,0,1,16,29,5,0,29,504,20,1,11,0,27,32,42,178,49,76,3,0,0,0,208,1024,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity$Anonymous6,anonymous,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,2,0,2,0,0,0,0,12,-1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\RfbProto.java,com.iiordanov.bVNC.RfbProto$RfbPasswordAuthenticationException,innerclass,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity$Anonymous9,anonymous,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,1,0,0,0,0,13,-1,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity$Anonymous8,anonymous,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,1,0,0,0,0,13,-1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\dialogs\MetaKeyDialog.java,com.iiordanov.bVNC.dialogs.MetaKeyDialog$Anonymous1$Anonymous2,anonymous,7,7,0,7,3,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,1,0,0,2,2,4,0,3,1,0,0,0,31,-1,0
