file,class,method,variable,usage
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,pauseCapture/0,buffer,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,readNumber/0,handler,2
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,readNumber/0,current,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,parse/1[java.lang.String],MIN_BUFFER_SIZE,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,parse/1[java.lang.String],DEFAULT_BUFFER_SIZE,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,parse/1[java.io.Reader],reader,3
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,parse/1[java.io.Reader],DEFAULT_BUFFER_SIZE,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,readObject/0,nestingLevel,3
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,readObject/0,handler,7
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,readObject/0,MAX_NESTING_LEVEL,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,isWhiteSpace/0,current,4
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,"parse/2[java.io.Reader,int]",current,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,"parse/2[java.io.Reader,int]",captureStart,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,"parse/2[java.io.Reader,int]",bufferOffset,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,"parse/2[java.io.Reader,int]",reader,5
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,"parse/2[java.io.Reader,int]",line,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,"parse/2[java.io.Reader,int]",lineOffset,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,"parse/2[java.io.Reader,int]",index,1
C:\FlatLaf-main\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,"parse/2[java.io.Reader,int]",buffer,1
